time_seconds,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z
0.0177,-2.64,0.57,-4.53,0.77,0.59,-0.12,-0.21
0.0381,-1.81,-0.76,-2.21,0.76,0.6,-0.13,-0.21
0.1112,-1.34,-1.68,-1.02,0.76,0.6,-0.14,-0.21
0.1267,2.82,0.66,1.57,0.72,0.62,-0.2,-0.22
0.1477,2.64,-1.41,2.77,0.71,0.63,-0.22,-0.23
0.2151,3.48,-2.03,3.25,0.7,0.63,-0.24,-0.24
0.238,1.49,-1.89,4.77,0.65,0.64,-0.3,-0.27
0.3151,2.92,-2.85,3.07,0.64,0.64,-0.32,-0.27
0.3277,2.07,-2.81,4.38,0.6,0.64,-0.37,-0.32
0.3481,1.05,-0.36,3.45,0.59,0.64,-0.38,-0.33
0.3711,-1.09,-2.06,3.86,0.58,0.63,-0.39,-0.34
0.3877,-0.55,-4.48,4.41,0.57,0.63,-0.39,-0.34
0.4099,0.34,3.0,1.96,0.57,0.63,-0.4,-0.34
0.4521,-0.89,3.74,1.93,0.56,0.63,-0.4,-0.35
0.4677,-0.78,-3.42,3.11,0.55,0.62,-0.42,-0.37
0.4877,-0.93,0.18,2.79,0.55,0.62,-0.42,-0.37
0.5311,-0.25,0.6,3.84,0.55,0.62,-0.42,-0.37
0.5481,0.25,-1.59,4.43,0.55,0.61,-0.43,-0.36
0.568,0.16,-0.66,4.9,0.56,0.61,-0.43,-0.36
0.5924
0.6077,4.79,-3.91,4.36,0.56,0.61,-0.42,-0.36
0.6277,6.23,-3.55,2.15,0.57,0.61,-0.41,-0.36
0.6477,3.36,-1.86,1.62,0.59,0.61,-0.4,-0.36
0.7031,2.38,-1.54,1.89,0.6,0.6,-0.39,-0.36
0.7177,3.92,-2.52,1.23,0.63,0.6,-0.35,-0.34
0.7378,2.93,-2.45,1.05,0.65,0.59,-0.34,-0.33
0.7582,1.37,-1.35,1.2,0.67,0.59,-0.32,-0.33
0.7814,1.36,-1.33,0.24,0.68,0.58,-0.3,-0.32
0.8045,-0.08,-0.16,-0.09,0.7,0.57,-0.28,-0.32
0.8178,-0.93,-0.21,0.71,0.72,0.57,-0.26,-0.31
0.8378,-2.77,-1.24,0.52,0.73,0.56,-0.24,-0.31
0.8812,-1.73,-0.46,-0.11,0.74,0.56,-0.22,-0.3
0.8976,0.64,-1.52,0.94,0.77,0.54,-0.18,-0.28
0.9177,-0.99,-1.0,-0.2,0.79,0.53,-0.16,-0.27
0.9852,-2.65,-1.18,-0.94,0.8,0.51,-0.14,-0.27
1.0081,-3.67,0.29,-1.64,0.84,0.48,-0.08,-0.25
1.0696,-2.97,0.37,-1.64,0.84,0.47,-0.08,-0.24
1.088,-2.37,-2.18,-2.5,0.86,0.46,-0.08,-0.21
1.1093,-1.57,-2.57,-3.1,0.86,0.46,-0.08,-0.21
1.1632,1.26,-0.19,-3.09,0.86,0.46,-0.07,-0.21
1.1778,-1.57,-1.27,-1.61,0.86,0.46,-0.08,-0.2
1.1977,0.37,1.1,-4.04,0.86,0.47,-0.08,-0.19
1.2692,0.6,-0.39,-3.79,0.85,0.48,-0.08,-0.2
1.2876,0.7,0.78,-3.53,0.83,0.51,-0.09,-0.19
1.3078,0.67,-0.21,-3.33,0.83,0.52,-0.1,-0.19
1.3771,0.44,-1.4,-4.23,0.82,0.54,-0.1,-0.19
1.401,1.85,-0.68,-4.75,0.78,0.59,-0.12,-0.18
1.4802,2.46,-1.52,-5.22,0.77,0.6,-0.12,-0.18
1.4987,4.57,-0.89,-6.25,0.74,0.64,-0.12,-0.16
1.5189,2.64,-1.3,-6.52,0.74,0.64,-0.12,-0.16
1.5906,0.52,-0.72,-6.46,0.74,0.64,-0.11,-0.16
1.6086,0.77,0.02,-3.62,0.74,0.65,-0.12,-0.16
1.6291,0.11,-0.99,-2.29,0.74,0.65,-0.12,-0.16
1.6992,-0.4,0.37,-2.29,0.73,0.65,-0.13,-0.15
1.7187,2.48,-0.01,0.75,0.72,0.66,-0.17,-0.16
1.7391,0.94,-1.7,1.5,0.71,0.66,-0.18,-0.16
1.7649,1.51,-1.44,0.52,0.7,0.67,-0.19,-0.17
1.7796,2.23,0.21,0.69,0.69,0.67,-0.21,-0.17
1.8007,1.59,-0.51,1.04,0.69,0.67,-0.22,-0.18
1.8303,2.12,-2.95,2.17,0.67,0.67,-0.24,-0.19
1.8487,3.45,-0.5,1.81,0.66,0.68,-0.26,-0.2
1.8688,1.84,-0.21,2.74,0.65,0.68,-0.27,-0.21
1.9361,0.66,-4.32,3.18,0.64,0.68,-0.28,-0.22
1.9488,1.8,0.01,1.88,0.6,0.69,-0.32,-0.25
1.9687,-0.4,-2.98,4.18,0.59,0.69,-0.33,-0.27
2.0261,0.95,-1.77,4.45,0.58,0.69,-0.34,-0.28
2.0499,-0.07,-3.54,4.3,0.56,0.67,-0.38,-0.31
2.1292,1.43,-3.58,4.11,0.55,0.67,-0.38,-0.31
2.149,0.96,-2.51,2.41,0.54,0.66,-0.4,-0.34
2.1689,1.39,1.38,1.18,0.54,0.65,-0.4,-0.35
2.1961,-0.05,0.86,2.09,0.54,0.65,-0.41,-0.35
2.2086,0.26,-2.17,2.98,0.54,0.64,-0.41,-0.35
2.2293,3.43,-3.9,3.37,0.54,0.64,-0.41,-0.35
2.2662,4.95,-1.76,3.28,0.55,0.64,-0.41,-0.35
2.2786,4.76,0.99,3.11,0.56,0.64,-0.39,-0.35
2.2986,5.07,-0.64,3.42,0.57,0.64,-0.39,-0.35
2.3681,5.95,-1.91,3.66,0.58,0.64,-0.38,-0.35
2.3889,1.94,-1.06,2.67,0.63,0.62,-0.32,-0.35
2.4662,1.17,-1.07,2.31,0.64,0.61,-0.3,-0.34
2.4786,-1.54,-1.08,1.81,0.7,0.58,-0.23,-0.34
2.5036,-0.14,-2.64,2.18,0.72,0.58,-0.21,-0.33
2.5701,-1.38,-1.06,0.39,0.74,0.57,-0.18,-0.32
