time_seconds,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z
2.0208,-1.3,-1.26,3.42,0.6,0.67,-0.34,-0.28
2.0411,0.43,0.3,1.91,0.6,0.67,-0.34,-0.29
2.0609,-0.15,1.49,1.59,0.6,0.67,-0.34,-0.29
2.1287,-0.0,-1.37,1.65,0.6,0.66,-0.35,-0.3
2.1413,-0.41,0.89,1.2,0.6,0.66,-0.34,-0.3
2.1611,-0.46,1.18,1.44,0.6,0.66,-0.34,-0.3
2.225,0.5,-0.07,1.95,0.6,0.66,-0.34,-0.3
2.2408,5.8,-1.5,4.05,0.61,0.66,-0.32,-0.29
2.2608,5.6,0.3,4.41,0.61,0.67,-0.31,-0.29
2.2907,6.08,-0.31,4.41,0.62,0.66,-0.3,-0.29
2.3113,4.59,-4.18,4.15,0.64,0.66,-0.28,-0.29
2.3318,3.12,-1.98,3.3,0.65,0.65,-0.27,-0.29
2.3508,3.61,-0.37,2.62,0.66,0.64,-0.25,-0.29
2.3818,3.21,-2.38,2.27,0.68,0.63,-0.24,-0.29
2.4008,-0.88,-4.02,0.95,0.71,0.6,-0.22,-0.29
2.4243,-1.1,-0.68,0.29,0.73,0.59,-0.2,-0.28
2.493,-1.19,0.62,-0.42,0.75,0.58,-0.18,-0.28
2.5108,-1.99,-1.23,-0.23,0.81,0.52,-0.12,-0.25
2.5319,-1.51,-0.88,-1.23,0.82,0.5,-0.1,-0.24
2.5538,-2.68,-1.07,-0.44,0.84,0.49,-0.08,-0.23
2.5709,-3.32,-0.99,-0.43,0.85,0.47,-0.07,-0.22
2.5911,-3.75,-1.54,-0.55,0.86,0.46,-0.06,-0.2
2.6117,-2.44,-0.86,-0.91,0.87,0.44,-0.05,-0.19
2.6929,-1.82,-0.74,-1.99,0.88,0.43,-0.04,-0.17
2.7119,-1.8,0.17,-4.53,0.9,0.41,-0.0,-0.12
2.7308,-1.8,0.38,-4.89,0.9,0.42,0.0,-0.12
2.7519,-1.79,0.08,-5.08,0.9,0.42,0.01,-0.11
2.7708,-0.66,-1.73,-5.11,0.9,0.43,0.01,-0.1
2.7921,-1.31,-0.28,-6.26,0.89,0.44,0.01,-0.1
2.8119,-1.14,1.05,-6.59,0.88,0.46,0.01,-0.1
2.8337,0.63,0.99,-6.61,0.88,0.47,0.01,-0.1
2.8679,1.37,-1.6,-5.72,0.87,0.48,-0.0,-0.09
2.8818,0.98,-0.46,-5.51,0.86,0.5,-0.0,-0.09
2.9018,1.96,1.02,-4.94,0.85,0.52,-0.01,-0.09
2.9741,2.11,-0.82,-5.32,0.85,0.52,-0.01,-0.09
2.9919,3.98,-1.98,-4.75,0.82,0.57,-0.02,-0.08
3.012,4.82,-1.13,-4.14,0.81,0.58,-0.02,-0.08
3.039,5.23,0.73,-3.01,0.8,0.59,-0.03,-0.08
