time_seconds,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z
0.0108,-0.06,-0.82,-2.05,0.86,0.51,0.06,0.04
0.0308,2.44,1.54,-3.33,0.85,0.52,0.06,0.04
0.0507,0.3,0.3,0.2,0.83,0.55,0.07,0.03
0.1165,-1.15,0.36,1.17,0.83,0.56,0.06,0.03
0.1308,1.41,1.96,0.57,0.81,0.58,0.05,0.03
0.1507,2.19,-0.17,1.74,0.81,0.58,0.04,0.03
0.1707,2.21,-2.25,1.53,0.81,0.59,0.04,0.03
0.1907,1.33,-0.38,1.11,0.8,0.59,0.04,0.03
0.2107,1.04,0.92,1.24,0.8,0.59,0.04,0.03
0.2307,2.55,-1.02,2.2,0.8,0.6,0.03,0.03
0.2507,3.08,-2.65,2.03,0.8,0.6,0.03,0.03
0.2714,3.43,1.18,2.19,0.8,0.6,0.04,0.03
0.3426,3.62,1.87,3.15,0.79,0.61,0.04,0.03
0.3614,2.55,0.59,3.22,0.78,0.62,0.03,0.04
0.3814,1.66,-0.74,3.61,0.78,0.62,0.04,0.04
0.4465,2.0,-0.79,2.64,0.78,0.62,0.04,0.04
0.4612,-0.62,0.35,-3.14,0.78,0.63,0.05,0.04
0.4814,-0.62,-0.61,-4.37,0.77,0.63,0.05,0.04
0.5506,-0.39,-0.28,-6.12,0.77,0.64,0.05,0.04
0.5708,1.79,-1.82,-2.25,0.76,0.65,0.04,0.05
0.5908,1.25,-0.72,-1.14,0.75,0.66,0.03,0.05
0.611,0.06,-1.09,0.84,0.75,0.66,0.03,0.05
0.6307,-0.08,-0.9,1.27,0.74,0.67,0.02,0.04
0.6507,1.99,-0.05,2.66,0.74,0.67,0.01,0.04
0.6707,2.3,0.28,3.71,0.73,0.68,0.0,0.04
0.6908,2.67,-1.1,4.86,0.73,0.69,-0.01,0.04
0.7108,3.7,-1.21,5.64,0.72,0.69,-0.02,0.04
0.7318,4.61,0.06,6.87,0.71,0.7,-0.03,0.03
0.7508,3.72,-0.84,7.33,0.7,0.71,-0.05,0.03
0.7708,3.72,-1.47,7.39,0.69,0.72,-0.06,0.02
0.7907,4.39,-1.52,6.97,0.68,0.73,-0.07,0.01
0.8588,5.84,-1.33,5.92,0.67,0.74,-0.08,-0.0
0.871,3.51,-2.31,4.67,0.65,0.75,-0.11,-0.04
0.8921,3.68,-3.12,4.44,0.64,0.75,-0.12,-0.05
0.9425,2.71,-3.36,4.18,0.64,0.76,-0.13,-0.06
0.9608,1.67,-2.39,3.62,0.63,0.76,-0.13,-0.1
0.9807,2.07,-2.5,3.74,0.63,0.76,-0.13,-0.11
1.0007,1.77,-3.34,3.65,0.62,0.76,-0.14,-0.12
1.0208,0.97,-3.68,3.93,0.62,0.76,-0.14,-0.13
1.0905,0.43,-4.74,4.84,0.62,0.76,-0.15,-0.14
1.1124,0.31,-1.74,5.54,0.6,0.76,-0.15,-0.17
1.131,0.71,-3.95,6.77,0.6,0.76,-0.16,-0.17
1.1519,1.97,-4.63,6.62,0.6,0.77,-0.16,-0.18
1.2205,2.09,-1.87,5.52,0.59,0.77,-0.16,-0.18
1.2408,0.68,-2.48,4.87,0.6,0.76,-0.16,-0.19
1.2609,2.15,-3.18,4.37,0.6,0.76,-0.16,-0.19
1.3307,2.18,-1.47,3.06,0.6,0.76,-0.15,-0.19
1.3419,3.49,-1.95,4.45,0.6,0.76,-0.15,-0.19
1.3613,5.51,-2.21,4.37,0.6,0.76,-0.15,-0.19
1.4385,6.17,-2.69,5.43,0.61,0.76,-0.14,-0.19
1.4517,5.0,-1.65,4.7,0.62,0.75,-0.13,-0.18
1.4717,4.71,-2.35,4.22,0.63,0.75,-0.13,-0.18
1.5416,4.14,-3.54,5.05,0.64,0.74,-0.12,-0.17
1.5618,1.82,-2.45,1.95,0.68,0.71,-0.08,-0.14
1.584,1.57,-3.11,2.45,0.7,0.7,-0.06,-0.14
1.602,0.97,-3.35,2.6,0.71,0.69,-0.05,-0.13
1.6218,-0.96,-4.01,1.39,0.73,0.67,-0.03,-0.12
1.6935,-1.48,-3.46,1.28,0.75,0.66,-0.01,-0.11
1.712,-5.57,0.57,0.32,0.8,0.59,0.03,-0.07
1.7308,-5.32,-0.41,1.66,0.82,0.57,0.04,-0.05
1.7518,-3.3,-1.32,0.84,0.83,0.56,0.04,-0.04
1.7722,-2.47,-0.83,-0.28,0.84,0.55,0.05,-0.03
1.7921,-4.35,0.23,-0.23,0.84,0.53,0.06,-0.02
1.8119,-5.86,-0.83,-0.31,0.85,0.52,0.07,-0.01
1.8718,-6.09,-0.75,0.33,0.86,0.51,0.07,-0.01
1.8917,-0.8,0.29,-1.83,0.86,0.51,0.06,0.01
1.9117,-1.14,-1.04,-1.06,0.86,0.51,0.05,0.02
1.9317,-1.89,-4.6,-0.37,0.86,0.51,0.05,0.02
1.9518,-2.46,-3.16,-1.88,0.85,0.52,0.06,0.01
1.9717,-0.92,0.71,-2.87,0.85,0.52,0.07,0.01
1.9917,0.33,0.71,-2.32,0.85,0.53,0.07,0.01
2.0117,1.0,-1.04,-2.32,0.85,0.53,0.07,0.01
2.0317,0.39,-0.2,-1.82,0.84,0.54,0.07,0.02
2.0518,0.58,3.06,-3.43,0.83,0.55,0.07,0.02
2.0717,1.3,2.38,-2.95,0.83,0.56,0.06,0.02
2.0945,1.48,-2.73,-0.73,0.82,0.57,0.04,0.02
2.1117,1.27,-2.59,-1.47,0.82,0.57,0.04,0.02
2.1317,1.96,1.71,-2.56,0.81,0.58,0.04,0.02
2.1617,1.05,0.56,-0.76,0.81,0.59,0.03,0.02
2.1817,1.79,-3.89,0.23,0.8,0.6,0.02,0.02
2.2017,2.27,-3.08,-1.76,0.79,0.61,0.03,0.02
2.2225,1.02,0.23,-0.11,0.79,0.61,0.05,0.02
2.2957,1.13,1.6,0.84,0.78,0.62,0.05,0.03
2.312,4.32,-0.78,0.63,0.76,0.65,0.04,0.06
2.3327,3.63,-0.16,0.54,0.75,0.66,0.04,0.06
2.4004,3.66,-0.18,-0.56,0.75,0.66,0.05,0.07
2.4117,3.67,-0.5,-4.92,0.75,0.66,0.04,0.07
2.4323,4.05,-1.19,-7.3,0.75,0.65,0.05,0.06
2.5078,4.41,-0.59,-8.04,0.76,0.65,0.05,0.05
2.5223,-0.03,-2.07,-4.61,0.76,0.64,0.04,0.04
2.5417,-2.11,-1.85,-2.89,0.76,0.64,0.04,0.03
2.5617,-3.05,-0.3,-1.43,0.76,0.65,0.04,0.03
2.5818,-2.84,-0.46,0.17,0.76,0.65,0.03,0.02
2.6117,0.23,-1.16,4.32,0.75,0.66,0.01,0.02
2.6328,1.22,-0.7,4.45,0.74,0.67,-0.0,0.01
2.6554,0.91,-0.3,3.95,0.73,0.68,-0.01,0.0
2.6729,0.47,-0.71,4.11,0.72,0.69,-0.03,-0.01
2.6921,1.21,-1.07,4.71,0.72,0.7,-0.04,-0.02
2.7127,1.74,-2.17,4.74,0.71,0.7,-0.06,-0.03
2.7318,1.38,-1.37,5.09,0.7,0.71,-0.07,-0.04
2.7545,1.88,-1.84,3.76,0.69,0.72,-0.08,-0.05
2.7723,0.27,-0.61,2.91,0.68,0.73,-0.09,-0.07
2.793,0.89,-1.0,3.61,0.67,0.73,-0.1,-0.09
2.8556,1.21,-2.68,4.62,0.66,0.73,-0.11,-0.1
2.8717,-0.07,-1.21,5.39,0.65,0.74,-0.12,-0.13
2.8917,1.2,0.37,6.12,0.64,0.74,-0.13,-0.14
2.9117,0.88,-1.02,5.87,0.64,0.74,-0.13,-0.14
2.9336,-0.74,-1.67,5.87,0.64,0.74,-0.14,-0.15
2.9945,-0.05,-1.19,5.07,0.64,0.74,-0.14,-0.15
3.0127,0.27,-0.95,3.58,0.65,0.73,-0.14,-0.16
3.0317,0.64,0.56,3.52,0.65,0.73,-0.13,-0.16
3.0995,0.55,0.28,3.29,0.65,0.73,-0.13,-0.17
3.1227,0.37,-1.24,2.18,0.67,0.72,-0.12,-0.17
3.1514,0.18,-1.04,1.96,0.67,0.71,-0.12,-0.17
3.1731,0.18,-0.9,1.5,0.67,0.71,-0.11,-0.17
3.1932,0.09,-0.61,0.88,0.68,0.71,-0.11,-0.17
3.2117,0.39,-1.05,0.82,0.68,0.71,-0.11,-0.16
3.2824,0.81,-0.84,0.59,0.68,0.7,-0.1,-0.16
3.303,0.91,-0.21,0.25,0.7,0.69,-0.09,-0.16
3.3232,1.99,-0.91,0.16,0.7,0.69,-0.09,-0.16
3.3925,1.76,-1.75,0.04,0.71,0.68,-0.09,-0.16
3.4127,3.72,-0.86,1.33,0.75,0.64,-0.07,-0.17
3.4327,1.27,-1.58,1.45,0.77,0.62,-0.06,-0.16
3.4547,-0.79,-1.2,3.02,0.79,0.59,-0.05,-0.17
3.4728,0.59,-0.79,2.23,0.8,0.57,-0.04,-0.17
3.5015,-0.63,-0.86,0.96,0.82,0.55,-0.03,-0.17
3.5279,-0.01,-2.54,2.06,0.84,0.51,-0.01,-0.17
3.5428,0.11,-0.9,1.64,0.86,0.48,0.01,-0.17
3.5629,-2.12,0.34,0.8,0.87,0.45,0.02,-0.17
3.6107,-2.87,-0.57,0.21,0.89,0.43,0.03,-0.17
3.6329,0.32,0.58,-1.45,0.9,0.4,0.06,-0.16
3.6805,-0.58,0.52,-2.29,0.91,0.38,0.07,-0.16
3.7029,-0.29,0.65,-1.13,0.92,0.36,0.07,-0.15
3.7469,-0.18,-0.5,-1.8,0.92,0.35,0.07,-0.15
3.7629,0.66,-0.01,-0.59,0.92,0.35,0.08,-0.14
3.7877,-0.07,0.42,-0.2,0.93,0.34,0.08,-0.13
3.8545,0.23,-0.1,-0.65,0.93,0.34,0.08,-0.13
3.8734,0.51,-0.28,-0.52,0.93,0.34,0.07,-0.12
3.8929,0.08,-1.03,-0.66,0.93,0.34,0.07,-0.11
3.9129,0.25,-0.53,-0.05,0.93,0.34,0.08,-0.11
3.9328,0.0,0.29,0.12,0.93,0.34,0.08,-0.11
