time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
475734427.0,2984.0,0.0,0.5,-0.14,-0.35,0
475742443.0,8016.0,1.0,0.7,-0.61,0.31,-0.22
475745427.0,2984.0,0.0,0.38,-0.35,-0.39,0
475751443.0,6016.0,1.0,0.7,-0.61,0.31,-0.21
475754427.0,2984.0,0.0,0.0,-0.26,-0.25,0
475761443.0,7016.0,1.0,0.7,-0.61,0.31,-0.21
475764427.0,2984.0,0.0,-0.15,-0.59,0.0,0
475771443.0,7016.0,1.0,0.69,-0.61,0.31,-0.21
475775427.0,3984.0,0.0,0.05,-0.6,0.02,0
475782443.0,7016.0,1.0,0.69,-0.62,0.31,-0.21
475785427.0,2984.0,0.0,0.24,-0.59,0.01,0
475791443.0,6016.0,1.0,0.69,-0.62,0.31,-0.21
475794427.0,2984.0,0.0,0.84,-0.95,0.12,0
475807443.0,13016.0,1.0,0.69,-0.62,0.31,-0.21
475812443.0,5000.0,1.0,0.69,-0.62,0.32,-0.2
475815427.0,2984.0,0.0,1.42,-0.85,-0.5,0
475821443.0,6016.0,1.0,0.69,-0.62,0.32,-0.2
475824427.0,2984.0,0.0,1.49,-0.83,-0.58,0
475831443.0,7016.0,1.0,0.68,-0.63,0.32,-0.2
475834427.0,2984.0,0.0,1.21,-0.59,-0.87,0
475841443.0,7016.0,1.0,0.68,-0.63,0.32,-0.2
475844427.0,2984.0,0.0,0.98,-0.42,-0.77,0
475851443.0,7016.0,1.0,0.68,-0.63,0.32,-0.19
475855427.0,3984.0,0.0,0.74,-0.54,-0.82,0
475861443.0,6016.0,1.0,0.68,-0.63,0.32,-0.19
475864427.0,2984.0,0.0,0.51,-0.18,-0.92,0
475871443.0,7016.0,1.0,0.68,-0.63,0.32,-0.19
475874427.0,2984.0,0.0,0.54,-0.63,-0.71,0
475881443.0,7016.0,1.0,0.68,-0.63,0.32,-0.19
475884427.0,2984.0,0.0,0.53,-0.47,-0.62,0
475891443.0,7016.0,1.0,0.67,-0.64,0.33,-0.19
475894427.0,2984.0,0.0,0.29,-0.19,-0.37,0
475901443.0,7016.0,1.0,0.67,-0.64,0.33,-0.18
475904427.0,2984.0,0.0,0.05,-0.26,-0.43,0
475911443.0,7016.0,1.0,0.67,-0.64,0.33,-0.18
475914427.0,2984.0,0.0,-0.26,-0.1,-0.44,0
475921443.0,7016.0,1.0,0.67,-0.64,0.33,-0.18
475924427.0,2984.0,0.0,-0.39,0.02,-0.73,0
475932443.0,8016.0,1.0,0.67,-0.64,0.33,-0.18
475935427.0,2984.0,0.0,-0.44,0.45,-0.79,0
475941443.0,6016.0,1.0,0.67,-0.64,0.33,-0.17
475944427.0,2984.0,0.0,-0.41,0.38,-0.78,0
475951443.0,7016.0,1.0,0.67,-0.64,0.34,-0.17
475954427.0,2984.0,0.0,-0.27,0.26,-0.15,0
475961443.0,7016.0,1.0,0.66,-0.65,0.34,-0.17
475964427.0,2984.0,0.0,-0.13,0.08,0.18,0
475972443.0,8016.0,1.0,0.66,-0.65,0.34,-0.17
475975427.0,2984.0,0.0,-0.14,-0.04,0.38,0
475981443.0,6016.0,1.0,0.66,-0.65,0.34,-0.17
475984427.0,2984.0,0.0,-0.12,-0.14,0.55,0
475991443.0,7016.0,1.0,0.66,-0.65,0.34,-0.16
475994427.0,2984.0,0.0,-0.09,-0.18,0.5,0
476001443.0,7016.0,1.0,0.66,-0.65,0.35,-0.16
476004427.0,2984.0,0.0,-0.07,-0.22,0.32,0
476012443.0,8016.0,1.0,0.66,-0.65,0.35,-0.16
476015427.0,2984.0,0.0,-0.13,-0.23,0.15,0
476021443.0,6016.0,1.0,0.65,-0.65,0.35,-0.16
476024427.0,2984.0,0.0,-0.45,-0.41,0.1,0
476031443.0,7016.0,1.0,0.65,-0.65,0.35,-0.16
476034427.0,2984.0,0.0,-0.5,-0.41,-0.03,0
476041443.0,7016.0,1.0,0.65,-0.65,0.36,-0.15
476044427.0,2984.0,0.0,-0.68,-0.41,-0.17,0
476052443.0,8016.0,1.0,0.65,-0.65,0.36,-0.15
476055427.0,2984.0,0.0,-0.62,-0.34,-0.18,0
476061443.0,6016.0,1.0,0.65,-0.66,0.36,-0.15
476064427.0,2984.0,0.0,-0.45,-0.11,-0.12,0
476071443.0,7016.0,1.0,0.64,-0.66,0.36,-0.15
476074427.0,2984.0,0.0,-0.31,-0.07,-0.02,0
476084443.0,10016.0,1.0,0.64,-0.66,0.37,-0.15
476087427.0,2984.0,0.0,-0.18,-0.37,0.0,0
476094443.0,7016.0,1.0,0.64,-0.66,0.37,-0.14
476097427.0,2984.0,0.0,-0.23,-0.25,0.11,0
476101443.0,4016.0,1.0,0.64,-0.66,0.37,-0.14
476104427.0,2984.0,0.0,-0.22,-0.25,-0.07,0
476111443.0,7016.0,1.0,0.64,-0.66,0.37,-0.14
476114427.0,2984.0,0.0,-0.35,-0.05,-0.3,0
476121443.0,7016.0,1.0,0.63,-0.66,0.38,-0.14
476124427.0,2984.0,0.0,-0.52,-0.01,-0.39,0
476132443.0,8016.0,1.0,0.63,-0.66,0.38,-0.14
476135427.0,2984.0,0.0,-0.58,0.16,-0.5,0
476141443.0,6016.0,1.0,0.63,-0.66,0.38,-0.14
476144427.0,2984.0,0.0,-0.37,0.39,-0.21,0
476152443.0,8016.0,1.0,0.63,-0.67,0.38,-0.13
476156427.0,3984.0,0.0,-0.28,0.29,0.08,0
476162443.0,6016.0,1.0,0.62,-0.67,0.38,-0.13
476165427.0,2984.0,0.0,-0.07,0.3,0.06,0
476172443.0,7016.0,1.0,0.62,-0.67,0.39,-0.13
476175427.0,2984.0,0.0,-0.16,0.16,-0.07,0
476181443.0,6016.0,1.0,0.62,-0.67,0.39,-0.13
476184427.0,2984.0,0.0,-0.27,0.09,-0.08,0
476192443.0,8016.0,1.0,0.62,-0.67,0.39,-0.13
476196427.0,3984.0,0.0,-0.25,-0.01,0.06,0
476202443.0,6016.0,1.0,0.62,-0.67,0.39,-0.12
476205427.0,2984.0,0.0,-0.2,-0.07,0.04,0
476211443.0,6016.0,1.0,0.61,-0.67,0.39,-0.12
476214427.0,2984.0,0.0,-0.06,-0.02,0.01,0
476221443.0,7016.0,1.0,0.61,-0.67,0.4,-0.12
476224427.0,2984.0,0.0,0.11,0.19,0.07,0
476232443.0,8016.0,1.0,0.61,-0.68,0.4,-0.12
476235427.0,2984.0,0.0,0.16,-0.09,0.25,0
476242443.0,7016.0,1.0,0.61,-0.68,0.4,-0.12
476245427.0,2984.0,0.0,0.21,-0.03,0.39,0
476251443.0,6016.0,1.0,0.6,-0.68,0.4,-0.12
476254427.0,2984.0,0.0,-0.22,0.02,0.14,0
476262443.0,8016.0,1.0,0.6,-0.68,0.4,-0.11
476265427.0,2984.0,0.0,-0.52,0.08,-0.14,0
476272443.0,7016.0,1.0,0.6,-0.68,0.4,-0.11
476275427.0,2984.0,0.0,-0.77,0.11,-0.35,0
476282443.0,7016.0,1.0,0.6,-0.68,0.41,-0.11
476285427.0,2984.0,0.0,-1.21,0.13,-0.29,0
476292443.0,7016.0,1.0,0.6,-0.68,0.41,-0.11
476295427.0,2984.0,0.0,-0.85,0.42,-0.54,0
476302443.0,7016.0,1.0,0.59,-0.69,0.41,-0.11
476305427.0,2984.0,0.0,-0.64,0.82,-0.71,0
476312443.0,7016.0,1.0,0.59,-0.69,0.41,-0.11
476315427.0,2984.0,0.0,-0.05,0.96,-0.7,0
476322443.0,7016.0,1.0,0.59,-0.69,0.41,-0.11
476325427.0,2984.0,0.0,0.04,0.92,-0.57,0
476332443.0,7016.0,1.0,0.59,-0.69,0.41,-0.1
476335427.0,2984.0,0.0,0.46,0.25,0.1,0
476342443.0,7016.0,1.0,0.58,-0.69,0.41,-0.1
476345427.0,2984.0,0.0,0.56,-0.04,-0.07,0
476352443.0,7016.0,1.0,0.58,-0.69,0.41,-0.1
476355427.0,2984.0,0.0,0.2,-0.2,0.3,0
476361443.0,6016.0,1.0,0.58,-0.69,0.42,-0.1
476364427.0,2984.0,0.0,0.13,-0.3,0.16,0
476375443.0,11016.0,1.0,0.58,-0.69,0.42,-0.1
476378427.0,2984.0,0.0,-0.32,-0.04,-0.02,0
476382443.0,4016.0,1.0,0.57,-0.7,0.42,-0.1
476385427.0,2984.0,0.0,-0.43,-0.01,0.13,0
476392443.0,7016.0,1.0,0.57,-0.7,0.42,-0.1
476395427.0,2984.0,0.0,-0.64,-0.14,-0.23,0
476401443.0,6016.0,1.0,0.57,-0.7,0.42,-0.1
476404427.0,2984.0,0.0,-1.05,0.2,-0.52,0
476412443.0,8016.0,1.0,0.57,-0.7,0.42,-0.09
476415427.0,2984.0,0.0,-1.19,0.45,-0.74,0
476422443.0,7016.0,1.0,0.56,-0.7,0.43,-0.09
476425427.0,2984.0,0.0,-0.91,0.75,-0.64,0
476432443.0,7016.0,1.0,0.56,-0.7,0.43,-0.09
476435427.0,2984.0,0.0,-0.78,1.16,-0.54,0
476441443.0,6016.0,1.0,0.56,-0.7,0.43,-0.09
476444427.0,2984.0,0.0,-0.23,0.57,0.0,0
476452443.0,8016.0,1.0,0.56,-0.7,0.43,-0.09
476455427.0,2984.0,0.0,-0.02,0.72,-0.1,0
476462443.0,7016.0,1.0,0.56,-0.71,0.43,-0.09
476465427.0,2984.0,0.0,0.06,0.1,0.1,0
476472443.0,7016.0,1.0,0.55,-0.71,0.43,-0.09
476475427.0,2984.0,0.0,0.04,0.47,-0.15,0
476482443.0,7016.0,1.0,0.55,-0.71,0.43,-0.08
476485427.0,2984.0,0.0,0.2,0.41,-0.33,0
476492443.0,7016.0,1.0,0.55,-0.71,0.43,-0.08
476496427.0,3984.0,0.0,0.18,0.4,-0.63,0
476502443.0,6016.0,1.0,0.55,-0.71,0.43,-0.08
476505427.0,2984.0,0.0,-0.03,0.7,-0.75,0
476512443.0,7016.0,1.0,0.55,-0.71,0.43,-0.08
476515427.0,2984.0,0.0,-0.25,0.57,-0.96,0
476522443.0,7016.0,1.0,0.54,-0.71,0.43,-0.08
476525427.0,2984.0,0.0,-0.46,0.76,-1.23,0
476532443.0,7016.0,1.0,0.54,-0.72,0.43,-0.08
476536427.0,3984.0,0.0,-0.52,1.09,-0.96,0
476542443.0,6016.0,1.0,0.54,-0.72,0.43,-0.07
476545427.0,2984.0,0.0,-0.7,0.02,-0.96,0
476552443.0,7016.0,1.0,0.54,-0.72,0.43,-0.07
476555427.0,2984.0,0.0,-1.22,0.54,-0.81,0
476562443.0,7016.0,1.0,0.54,-0.72,0.43,-0.07
476565427.0,2984.0,0.0,-1.67,-0.05,-0.54,0
476572443.0,7016.0,1.0,0.54,-0.72,0.44,-0.07
476576427.0,3984.0,0.0,-2.15,0.01,-0.55,0
476582443.0,6016.0,1.0,0.54,-0.72,0.44,-0.07
476585427.0,2984.0,0.0,-2.9,0.14,-0.4,0
476592443.0,7016.0,1.0,0.53,-0.72,0.44,-0.06
476595427.0,2984.0,0.0,-4.11,-0.01,0.01,0
476602443.0,7016.0,1.0,0.53,-0.72,0.44,-0.06
476605427.0,2984.0,0.0,-4.71,-0.31,0.34,0
476612443.0,7016.0,1.0,0.53,-0.72,0.44,-0.06
476616427.0,3984.0,0.0,-5.17,-0.58,0.64,0
476622443.0,6016.0,1.0,0.53,-0.72,0.44,-0.06
476625427.0,2984.0,0.0,-5.66,-0.59,1.06,0
476631443.0,6016.0,1.0,0.53,-0.72,0.44,-0.06
476634427.0,2984.0,0.0,-6.54,-0.44,1.75,0
476642443.0,8016.0,1.0,0.53,-0.72,0.45,-0.05
476645427.0,2984.0,0.0,-7.0,-0.31,2.17,0
476652443.0,7016.0,1.0,0.52,-0.72,0.45,-0.05
476655427.0,2984.0,0.0,-7.56,-0.68,2.48,0
476664443.0,9016.0,1.0,0.52,-0.72,0.46,-0.05
476667427.0,2984.0,0.0,-8.12,-1.2,2.74,0
476674443.0,7016.0,1.0,0.52,-0.71,0.47,-0.05
476677427.0,2984.0,0.0,-8.67,-1.48,2.5,0
476681443.0,4016.0,1.0,0.51,-0.71,0.48,-0.05
476684427.0,2984.0,0.0,-8.98,-1.42,2.44,0
476692443.0,8016.0,1.0,0.51,-0.71,0.49,-0.05
476695427.0,2984.0,0.0,-9.19,-0.81,1.98,0
476702443.0,7016.0,1.0,0.5,-0.7,0.5,-0.05
476705427.0,2984.0,0.0,-9.27,0.61,1.11,0
476712443.0,7016.0,1.0,0.49,-0.7,0.52,-0.06
476715427.0,2984.0,0.0,-9.25,3.19,-1.22,0
476722443.0,7016.0,1.0,0.49,-0.69,0.53,-0.06
476725427.0,2984.0,0.0,-9.3,4.49,-2.21,0
476732443.0,7016.0,1.0,0.48,-0.68,0.55,-0.06
476735427.0,2984.0,0.0,-9.28,5.55,-3.0,0
